"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","source_count","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","4F","UPS","UPS","152924.7948815186","474435.6703736874","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","150274.7948815185","474435.671658662","0.82","1","1","5F-1B-4","UPS / 5F-1B-4","343.8","------00 Switch Gear_Number","8C4482"
"confirmed","XR-PLAN","4F","UPS","UPS","117453.469859303","474606.3443898441","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","149103.4711426182","474606.3456748188","0.82","1","1","5F-1B-4","UPS / 5F-1B-4","886.9","------00 Switch Gear_Number","8C4482"
"confirmed","XR-PLAN","4F","UPS","UPS","119963.6298593029","474876.0005738151","0.82","1","1","3F-1B-4","UPS / 3F-1B-4","1055.9","------00 Switch Gear_Number","8C3E6D"
"confirmed","XR-PLAN","4F","UPS","UPS","151613.631142618","474876.0018587897","0.82","1","1","5F-1B-4","UPS / 5F-1B-4","1642.3","------00 Switch Gear_Number","8C4482"
"confirmed","XR-PLAN","4F","UPS","UPS","118624.7935982035","475635.6703736742","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","121274.7935982035","475635.6703736742","0.82","1","1","3F-1B-3","UPS / 3F-1B-3","343.8","------00 Switch Gear_Number","8C3E69"
"confirmed","XR-PLAN","4F","UPS","UPS","152924.7948815186","475635.6703736874","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","150274.7948815185","475635.6716586621","0.82","1","1","5F-1B-3","UPS / 5F-1B-3","343.8","------00 Switch Gear_Number","8C447F"
"confirmed","XR-PLAN","4F","UPS","UPS","117453.469859303","475806.3443898441","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","149103.4711426182","475806.3456748187","0.82","1","1","5F-1B-3","UPS / 5F-1B-3","886.9","------00 Switch Gear_Number","8C447F"
"confirmed","XR-PLAN","4F","UPS","UPS","119963.6298593029","476076.000573815","0.82","1","1","3F-1B-3","UPS / 3F-1B-3","1055.9","------00 Switch Gear_Number","8C3E69"
"confirmed","XR-PLAN","4F","UPS","UPS","151613.631142618","476076.0018587896","0.82","1","1","5F-1B-3","UPS / 5F-1B-3","1642.3","------00 Switch Gear_Number","8C447F"
"confirmed","XR-PLAN","4F","UPS","UPS","118624.7935982035","476835.6703736742","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","121274.7935982035","476835.6703736742","0.82","1","1","3F-1B-2","UPS / 3F-1B-2","343.8","------00 Switch Gear_Number","8C3E65"
"confirmed","XR-PLAN","4F","UPS","UPS","152924.7948815186","476835.6703736873","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","150274.7948815185","476835.671658662","0.82","1","1","5F-1B-2","UPS / 5F-1B-2","343.8","------00 Switch Gear_Number","8C447C"
"confirmed","XR-PLAN","4F","UPS","UPS","117453.469859303","477006.3443898441","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","149103.4711426182","477006.3456748188","0.82","1","1","5F-1B-2","UPS / 5F-1B-2","886.9","------00 Switch Gear_Number","8C447C"
"confirmed","XR-PLAN","4F","UPS","UPS","119963.6298593029","477276.000573815","0.82","1","1","3F-1B-2","UPS / 3F-1B-2","1055.9","------00 Switch Gear_Number","8C3E65"
"confirmed","XR-PLAN","4F","UPS","UPS","151613.631142618","477276.0018587897","0.82","1","1","5F-1B-2","UPS / 5F-1B-2","1642.3","------00 Switch Gear_Number","8C447C"
"confirmed","XR-PLAN","4F","UPS","UPS","118624.7935982035","478035.6703736742","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","121274.7935982035","478035.6703736742","0.82","1","1","3F-1B-1","UPS / 3F-1B-1","343.8","------00 Switch Gear_Number","8C3E61"
"confirmed","XR-PLAN","4F","UPS","UPS","152924.7948815186","478035.6703736874","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","150274.7948815185","478035.671658662","0.82","1","1","5F-1B-1","UPS / 5F-1B-1","343.8","------00 Switch Gear_Number","8C4479"
"confirmed","XR-PLAN","4F","UPS","UPS","117453.469859303","478206.3443898441","0.82","1","1","","UPS","","",""
"confirmed","XR-PLAN","4F","UPS","UPS","149103.4711426182","478206.3456748187","0.82","1","1","5F-1B-1","UPS / 5F-1B-1","886.9","------00 Switch Gear_Number","8C4479"
"confirmed","XR-PLAN","4F","UPS","UPS","155403.4704980026","487421.9653043875","0.82","1","1","5F-1D-5","UPS / 5F-1D-5","1013.9","------00 Switch Gear_Number","8C41AA"
"confirmed","XR-PLAN","4F","UPS","UPS","113803.5473903643","487421.9678743101","0.82","1","1","3F-1D-5","UPS / 3F-1D-5","1013.9","------00 Switch Gear_Number","8C3E52"
"confirmed","XR-PLAN","4F","UPS","UPS","156574.7942369018","487716.4644812204","0.82","1","1","5F-1D-5","UPS / 5F-1D-5","346.3","------00 Switch Gear_Number","8C41AA"
"confirmed","XR-PLAN","4F","UPS","UPS","113184.8711292644","487716.4657661682","0.82","1","1","3F-1D-5","UPS / 3F-1D-5","346.3","------00 Switch Gear_Number","8C56B1"
"confirmed","XR-PLAN","4F","UPS","UPS","114974.8711292644","487716.4657661682","0.82","1","1","3F-1D-5","UPS / 3F-1D-5","346.3","------00 Switch Gear_Number","8C3E52"
"confirmed","XR-PLAN","4F","UPS","UPS","154784.7942369016","487716.4747610194","0.82","1","1","5F-1D-5","UPS / 5F-1D-5","346.3","------00 Switch Gear_Number","8C59C9"
"confirmed","XR-PLAN","4F","UPS","UPS","155403.4704980025","488621.9653043874","0.82","1","1","5F-1D-4","UPS / 5F-1D-4","1013.9","------00 Switch Gear_Number","8C41A6"
"confirmed","XR-PLAN","4F","UPS","UPS","113803.5473903643","488621.9678743101","0.82","1","1","3F-1D-4","UPS / 3F-1D-4","1013.9","------00 Switch Gear_Number","8C3E4F"
"confirmed","XR-PLAN","4F","UPS","UPS","156574.7942369018","488916.4644812204","0.82","1","1","5F-1D-4","UPS / 5F-1D-4","346.3","------00 Switch Gear_Number","8C41A6"
"confirmed","XR-PLAN","4F","UPS","UPS","113184.8711292644","488916.4657661682","0.82","1","1","3F-1D-4","UPS / 3F-1D-4","346.3","------00 Switch Gear_Number","8C56AE"
"confirmed","XR-PLAN","4F","UPS","UPS","114974.8711292644","488916.4657661682","0.82","1","1","3F-1D-4","UPS / 3F-1D-4","346.3","------00 Switch Gear_Number","8C3E4F"
"confirmed","XR-PLAN","4F","UPS","UPS","154784.7942369016","488916.4747610195","0.82","1","1","5F-1D-4","UPS / 5F-1D-4","346.3","------00 Switch Gear_Number","8C59C5"
"confirmed","XR-PLAN","4F","UPS","UPS","155403.4704980024","489821.9653043875","0.82","1","1","5F-1D-3","UPS / 5F-1D-3","1013.9","------00 Switch Gear_Number","8C41A2"
"confirmed","XR-PLAN","4F","UPS","UPS","113803.5473903643","489821.9678743101","0.82","1","1","3F-1D-3","UPS / 3F-1D-3","1013.9","------00 Switch Gear_Number","8C3E4C"
"confirmed","XR-PLAN","4F","UPS","UPS","156574.7942369018","490116.4644812203","0.82","1","1","5F-1D-3","UPS / 5F-1D-3","346.3","------00 Switch Gear_Number","8C41A2"
